1,1,2022-01-01,2022-12-31,active
2,2,2022-03-15,2023-03-14,active
3,3,2022-06-01,2023-06-30,active
4,4,2022-02-01,2023-01-31,active
5,5,2022-04-15,2023-04-14,active
6,6,2022-07-01,2023-06-30,active
7,7,2022-08-01,2023-07-31,active
8,8,2022-09-15,2023-09-14,active
9,9,2022-10-01,2023-09-30,active
10,10,2022-11-15,2023-11-14,active
11,11,2022-12-01,2023-11-30,active
12,12,2023-01-15,2024-01-14,active
13,13,2023-02-01,2024-01-31,active
14,14,2023-03-01,2024-02-29,active
15,15,2023-04-15,2024-04-14,active
16,16,2023-05-01,2024-04-30,active
17,17,2023-06-01,2024-05-31,active
18,18,2023-07-15,2024-07-14,active
19,19,2023-08-01,2024-07-31,active
20,20,2023-09-01,2024-08-31,active
